sitename,Month,Day,Year,pupcount,comments
Forrester/C Horn Rk,7,5,2002,381,"Perryman et al., La Jolla"
Forrester/C Horn Rk,6,24,2009,451,Logs for checkcount
Forrester/C Horn Rk,7,12,2010,160,NA
Forrester/C Horn Rk,7,12,2010,170,NA
Forrester/C Horn Rk,6,27,2015,424,Otter aerial image count.
Forrester/C Horn Rk,7,10,2005,303,NA
Forrester/East Rk,7,5,2002,136,"Perryman et al., La Jolla"
Forrester/East Rk,6,27,2015,208,Otter aerial image count.
Forrester/East Rk,7,10,2005,134,NA
Forrester/East Rk,6,23,2013,144,added 11/10/15 by LF separated out from Lowrie
Forrester/East Rk,6,23,2013,162,added 11/10/15 by LF separated out from Lowrie
Forrester/East Rk,6,27,2015,209,Otter aerial image count.
Forrester/Forrester Island,6,23,2013,0,NA
Forrester/Forrester Island,7,12,2010,0,NA
Forrester/Forrester Island,7,12,2010,0,NA
Forrester/Forrester Island,6,24,2009,0,Logs for checkcount
Forrester/Forrester Island,6,27,2015,0,Otter aerial image count.
Forrester/Forrester Island,6,27,2015,0,Otter aerial image count.
Forrester/Forrester Island,6,24,2009,0,Logs for checkcount
Forrester/Forrester Island,6,23,2013,0,NA
Forrester/Lowrie,7,12,2010,1617,NA
Forrester/Lowrie,6,23,2013,1724,amended 11/10/15 by LF to separate out East Rk (-144 pups)
Forrester/Lowrie,7,5,2002,1086,"Perryman et al., La Jolla"
Forrester/Lowrie,6,23,2013,1711,amended 11/10/15 by LF to separate out East Rk (-162 pups)
Forrester/Lowrie,7,12,2010,1600,NA
Forrester/Lowrie,6,24,2009,1706,Logs for checkcount
Forrester/Lowrie,6,24,2009,1763,Logs for checkcount
Forrester/Lowrie,6,27,2015,1548,Otter aerial image count.
Forrester/Lowrie,6,27,2015,1556,Otter aerial image count.
Forrester/Lowrie,7,10,2005,1508,NA
Forrester/North Rk,6,27,2015,1139,Otter aerial image count.
Forrester/North Rk,6,27,2015,1147,Otter aerial image count.
Forrester/North Rk,7,10,2005,951,NA
Forrester/North Rk,7,12,2010,468,NA
Forrester/North Rk,7,12,2010,475,NA
Forrester/North Rk,6,23,2013,573,NA
Forrester/North Rk,7,5,2002,1030,"Perryman et al., La Jolla"
Forrester/North Rk,6,23,2013,581,NA
Forrester/North Rk,6,24,2009,1240,Logs for checkcount
Forrester/North Rk,6,24,2009,1206,Logs for checkcount
Forrester/Sea Lion Rk,6,27,2015,632,Otter aerial image count.
Forrester/Sea Lion Rk,7,12,2010,432,NA
Forrester/Sea Lion Rk,6,23,2013,499,NA
Forrester/Sea Lion Rk,7,12,2010,424,NA
Forrester/Sea Lion Rk,6,27,2015,630,Otter aerial image count.
Forrester/Sea Lion Rk,6,24,2009,635,Logs for checkcount
Forrester/Sea Lion Rk,7,5,2002,424,"Perryman et al., La Jolla"
Forrester/Sea Lion Rk,6,23,2013,499,NA
Forrester/Sea Lion Rk,7,10,2005,533,NA
Forrester/Sea Lion Rk,6,24,2009,641,Logs for checkcount
Gran (Ledge) Point,7,12,2010,0,NA
Gran (Ledge) Point,6,24,2009,0,Logs for checkcount
Gran (Ledge) Point,7,12,2010,0,NA
Gran (Ledge) Point,6,24,2015,2,Otter aerial image count.
Gran (Ledge) Point,6,24,2009,0,Logs for checkcount
Gran (Ledge) Point,6,24,2015,2,Otter aerial image count.
Gran (Ledge) Point,6,23,2013,0,NA
Gran (Ledge) Point,6,27,2004,0,SWFSC count from MF non-pup aerial survey photo
Gran (Ledge) Point,6,23,2013,0,NA
Graves Rock,7,10,2005,175,NA
Graves Rock,7,4,2002,99,"Perryman et al., La Jolla"
Graves Rock,6,25,2009,444,Logs for checkcount
Graves Rock,6,24,2013,553,NA
Graves Rock,6,25,2009,435,Logs for checkcount
Graves Rock,6,24,2015,497,Otter aerial image count.
Graves Rock,6,24,2015,506,Otter aerial image count.
Graves Rock,6,24,2013,549,NA
Grindall,6,23,2013,0,NA
Grindall,7,12,2010,0,NA
Grindall,6,27,2015,0,Otter aerial image count.
Grindall,6,23,2013,0,NA
Grindall,6,27,2015,0,Otter aerial image count.
Grindall,6,28,2004,0,SWFSC count from MF non-pup aerial survey photo
Grindall,7,12,2010,0,NA
Harbor Point,6,25,2009,0,Logs for checkcount
Harbor Point,6,25,2009,0,Logs for checkcount
Hazy,6,27,2015,1990,Otter aerial image count.
Hazy,6,27,1990,638,641 in NMFS 1992
Hazy,7,12,2010,1365,NA
Hazy,7,12,2010,1349,NA
Hazy,7,6,1991,808,"""Merrick et al, 1992"""
Hazy,99,99,1979,31,20 in NMFS 1992
Hazy,7,7,1997,1157,"""Pitcher, 1998 contract report"""
Hazy,6,28,2004,1271,SWFSC count from MF non-pup aerial survey photo
Hazy,6,22,2013,1840,NA
Hazy,7,10,2005,1286,NA
Hazy,7,99,1989,349,NA
Hazy,6,24,2009,1959,Logs for checkcount
Hazy,6,24,2009,1993,Logs for checkcount
Hazy,7,1,1994,862,"""Strick et al, 1997"""
Hazy,7,4,1998,1199,"""Pitcher, 1998 contract report"""
Hazy,7,5,2002,1248,"Perryman et al., La Jolla"
Hazy,6,27,2015,1999,Otter aerial image count.
Hazy,6,22,2013,1834,NA
Hazy,7,26,1993,759,NA
Hazy,7,3,1996,768,"""Strick et al, 1999"""
Inian,6,24,2015,1,Otter aerial image count.
Inian,6,24,2013,0,NA
Inian,6,24,2013,0,NA
Inian,6,24,2015,1,Otter aerial image count.
Jacob Rock,6,23,2013,1,NA
Jacob Rock,7,12,2010,0,NA
Jacob Rock,7,12,2010,0,NA
Jacob Rock,6,27,2015,1,Otter aerial image count.
Jacob Rock,6,28,2004,1,SWFSC count from MF non-pup aerial survey photo
Jacob Rock,6,27,2015,1,Otter aerial image count.
Jacob Rock,6,24,2009,2,Logs for checkcount
Jacob Rock,6,24,2009,2,Logs for checkcount
Jacob Rock,6,23,2013,0,NA
Kaiuchali (Biorka),6,27,2015,1,Otter aerial image count.
Kaiuchali (Biorka),6,28,2004,0,SWFSC count from MF non-pup aerial survey photo
Kaiuchali (Biorka),6,23,2013,0,NA
Kaiuchali (Biorka),6,27,2015,1,Otter aerial image count.
Kaiuchali (Biorka),6,23,2013,0,NA
Kaiuchali (Biorka),7,12,2010,0,NA
Kaiuchali (Biorka),7,12,2010,0,NA
Middle Pass Rock,6,24,2013,0,NA
Middle Pass Rock,6,24,2015,0,Otter aerial image count.
Middle Pass Rock,6,24,2015,0,Otter aerial image count.
Middle Pass Rock,6,24,2013,0,NA
Point Lull,6,24,2009,0,Logs for checkcount
Point Lull,6,24,2009,0,Logs for checkcount
Point Marsh,7,12,2010,0,NA
Point Marsh,7,12,2010,0,NA
Point Marsh,6,23,2013,0,NA
Point Marsh,6,27,2015,0,Otter aerial image count.
Point Marsh,6,23,2013,0,NA
Point Marsh,6,28,2004,0,SWFSC count from MF non-pup aerial survey photo
Point Marsh,6,27,2015,0,Otter aerial image count.
Sail,6,24,2009,0,Logs for checkcount
Sail,7,12,2010,0,NA
Sail,6,23,2013,0,NA
Sail,6,27,2015,0,Otter aerial image count.
Sail,6,27,2015,0,Otter aerial image count.
Sail,6,23,2013,0,NA
Sail,7,12,2010,0,NA
Sail,6,24,2009,0,Logs for checkcount
Sea Lion Islands,6,25,2009,0,Logs for checkcount
Sea Lion Islands,6,25,2009,0,Logs for checkcount
Sea Lion Islands,6,24,2015,4,Otter aerial image count.
Sea Lion Islands,6,24,2013,3,NA
Sea Lion Islands,6,24,2013,2,NA
Sea Lion Islands,6,28,2004,0,SWFSC count from MF non-pup aerial survey photo
Sea Lion Islands,6,24,2015,4,Otter aerial image count.
Sea Lion Rock (Puffin Bay),6,22,2013,0,NA
Sea Lion Rock (Puffin Bay),6,24,2009,0,Logs for checkcount
Sea Lion Rock (Puffin Bay),6,24,2009,0,Logs for checkcount
Sea Lion Rock (Puffin Bay),6,27,2015,0,Otter aerial image count.
Sea Lion Rock (Puffin Bay),7,12,2010,0,NA
Sea Lion Rock (Puffin Bay),7,12,2010,0,NA
Sea Lion Rock (Puffin Bay),6,28,2004,0,SWFSC count from MF non-pup aerial survey photo
Sea Lion Rock (Puffin Bay),6,22,2013,0,NA
Sea Lion Rock (Puffin Bay),6,27,2015,0,Otter aerial image count.
South Marble,6,24,2015,7,Otter aerial image count.
South Marble,6,25,2009,0,Logs for checkcount
South Marble,6,24,2013,7,NA
South Marble,6,24,2013,7,NA
South Marble,6,24,2015,7,Otter aerial image count.
South Marble,6,27,2004,0,SWFSC count from MF non-pup aerial survey photo
South Marble,6,25,2009,0,Logs for checkcount
Sunset,6,23,2013,2,NA
Sunset,6,23,2013,3,NA
Sunset,6,28,2004,0,SWFSC count from MF non-pup aerial survey photo
Sunset,6,24,2009,1,Logs for checkcount
Sunset,6,24,2009,1,Logs for checkcount
Sunset,6,27,2015,2,Otter aerial image count.
Sunset,6,27,2015,2,Otter aerial image count.
The Brothers/Sw,7,12,2010,0,NA
The Brothers/Sw,6,27,2015,0,Otter aerial image count.
The Brothers/Sw,6,27,2015,0,Otter aerial image count.
The Brothers/Sw,6,24,2009,2,Logs for checkcount
The Brothers/Sw,6,23,2013,1,NA
The Brothers/Sw,6,24,2009,2,Logs for checkcount
The Brothers/Sw,6,23,2013,0,NA
The Brothers/Sw,7,12,2010,0,NA
Timbered,6,23,2013,3,NA
Timbered,7,12,2010,1,NA
Timbered,7,12,2010,1,NA
Timbered,6,28,2004,0,SWFSC count from MF non-pup aerial survey photo
Timbered,6,27,2015,5,Otter aerial image count.
Timbered,6,27,2015,5,Otter aerial image count.
Timbered,6,23,2013,5,NA
Turnabout,6,28,2004,0,SWFSC count from MF non-pup aerial survey photo
West Rock,7,12,2010,0,NA
West Rock,7,12,2010,3,NA
West Rock,6,24,2009,1,Logs for checkcount
West Rock,6,24,2009,2,Logs for checkcount
West Rock,6,23,2013,1,NA
West Rock,6,23,2013,0,NA
West Rock,6,27,2015,1,Otter aerial image count.
West Rock,6,28,2004,0,SWFSC count from MF non-pup aerial survey photo
West Rock,6,27,2015,1,Otter aerial image count.
White Sisters,7,4,1998,282,"""Pitcher, 1998 contract report"""
White Sisters,6,28,2004,488,SWFSC count from MF non-pup aerial survey photo
White Sisters,7,11,1993,115,NA
White Sisters,7,5,1997,205,"""Pitcher, 1998 contract report"""
White Sisters,6,26,1992,116,NA
White Sisters,7,10,2005,520,NA
White Sisters,6,24,2015,915,Otter aerial image count.
White Sisters,7,8,1990,30,"""NMFS 1992, est?"""
White Sisters,6,24,2013,922,NA
White Sisters,7,3,1996,182,"""Strick et al, 1999"""
White Sisters,6,25,2009,858,Logs for checkcount
White Sisters,7,8,1991,95,"""Merrick et al, 1992"""
White Sisters,6,25,2009,836,Logs for checkcount
White Sisters,6,24,2013,927,NA
White Sisters,7,4,2002,403,"Perryman et al., La Jolla"
White Sisters,7,2,1994,151,"""Strick et al, 1997"""
White Sisters,6,24,2015,906,Otter aerial image count.
Wolf Rock,6,27,2015,0,Otter aerial image count.
Wolf Rock,6,28,2004,0,SWFSC count from MF non-pup aerial survey photo
Wolf Rock,6,24,2009,0,Logs for checkcount
Wolf Rock,6,24,2009,0,Logs for checkcount
Wolf Rock,6,23,2013,0,NA
Wolf Rock,6,27,2015,0,Otter aerial image count.
Wolf Rock,6,23,2013,0,NA
Yasha,6,24,2009,10,Logs for checkcount
Yasha,6,23,2013,8,NA
Yasha,6,27,2015,9,Otter aerial image count.
Yasha,6,23,2013,8,NA
Yasha,7,12,2010,9,NA
Yasha,7,12,2010,9,NA
Yasha,7,6,2002,1,"Perryman et al., La Jolla"
Yasha,6,27,2015,9,Otter aerial image count.
Yasha,6,24,2009,10,Logs for checkcount
Aialik Cape,6,25,2013,0,NA
Aialik Cape,6,10,2004,0,SWFSC count from MF non-pup aerial survey photo
Aialik Cape,6,25,2013,0,NA
Aialik Cape,6,26,2009,1,logs for chkcnt combined with photo count from Unnamed rock bn Rugged and Aialik Cape (1)
Aialik Cape,6,26,2009,1,logs for chkcnt combined with photo count from Unnamed rock bn Rugged and Aialik Cape (1)
Cape Fairfield,7,11,2010,0,NA
Cape Fairfield,6,26,2009,0,Logs for checkcount
Cape Fairfield,6,25,2013,0,NA
Cape Fairfield,6,10,2004,0,SWFSC count from MF non-pup aerial survey photo
Cape Fairfield,7,11,2010,0,NA
Cape Fairfield,6,26,2009,0,Logs for checkcount
Cape Fairfield,6,25,2013,0,NA
Cape Hinchinbrook,6,25,2013,0,NA
Cape Hinchinbrook,7,1,2015,0,Otter aerial image count.
Cape Hinchinbrook,6,27,2011,0,NA
Cape Hinchinbrook,6,10,2004,0,SWFSC count from MF non-pup aerial survey photo
Cape Hinchinbrook,6,27,2011,0,NA
Cape Hinchinbrook,7,1,2015,0,Otter aerial image count.
Cape Hinchinbrook,6,26,2009,0,Logs for checkcount
Cape Hinchinbrook,6,25,2013,0,NA
Cape Hinchinbrook,6,26,2009,0,Logs for checkcount
Cape Junken,6,10,2004,0,SWFSC count from MF non-pup aerial survey photo
Cape Puget,7,1,2015,0,Otter aerial image count.
Cape Puget,7,1,2015,0,Otter aerial image count.
Cape Puget,6,10,2004,0,SWFSC count from MF non-pup aerial survey photo
Cape Resurrection,6,25,2013,0,NA
Cape Resurrection,7,11,2010,0,NA
Cape Resurrection,7,11,2010,0,NA
Cape Resurrection,6,28,2011,0,NA
Cape Resurrection,6,10,2004,0,SWFSC count from MF non-pup aerial survey photo
Cape Resurrection,7,1,2015,1,Otter aerial image count.
Cape Resurrection,7,1,2015,1,Otter aerial image count.
Cape Resurrection,6,28,2011,2,NA
Cape Resurrection,6,26,2009,1,Logs for checkcount
Cape Resurrection,6,26,2009,1,Logs for checkcount
Cape Resurrection,6,25,2013,0,NA
Cape St. Elias,6,25,2009,18,Logs for checkcount
Cape St. Elias,6,25,2013,42,NA
Cape St. Elias,6,27,2011,26,NA
Cape St. Elias,6,27,2011,26,NA
Cape St. Elias,7,1,2015,29,Otter aerial image count.
Cape St. Elias,6,29,2004,7,SWFSC count from MF non-pup aerial survey photo
Cape St. Elias,6,25,2009,17,Logs for checkcount
Cape St. Elias,6,25,2013,44,NA
Cape St. Elias,6,9,2010,14,NA
Cape St. Elias,6,9,2010,14,NA
Cape St. Elias,7,11,2010,15,NA
Cape St. Elias,7,11,2010,15,NA
Cape St. Elias,7,1,2015,28,Otter aerial image count.
Chiswell Islands,6,26,2009,64,Logs for checkcount
Chiswell Islands,7,11,2010,64,NA
Chiswell Islands,6,26,2009,64,Logs for checkcount
Chiswell Islands,6,28,2011,84,NA
Chiswell Islands,6,9,2010,33,alittle early to use for annual pup production at this rookery
Chiswell Islands,6,9,2010,32,alittle early to use for annual pup production at this rookery
Chiswell Islands,7,11,2010,63,NA
Chiswell Islands,6,25,2013,76,NA
Chiswell Islands,6,10,2004,33,SWFSC count from MF non-pup aerial survey photo
Chiswell Islands,7,1,2015,104,Otter aerial image count.
Chiswell Islands,7,1,2015,100,Otter aerial image count.
Chiswell Islands,6,21,2005,44,NA
Chiswell Islands,6,25,2013,77,NA
Chiswell Islands,7,6,2000,58,Towell + others count (no written record?)
Chiswell Islands,6,28,2011,83,3 dead pups
Danger,7,1,2015,0,Otter aerial image count.
Danger,7,11,2010,0,NA
Danger,7,1,2015,0,Otter aerial image count.
Danger,6,10,2004,0,SWFSC count from MF non-pup aerial survey photo
Danger,7,11,2010,0,NA
Dutch Group,7,1,2015,0,Otter aerial image count.
Dutch Group,7,1,2015,0,Otter aerial image count.
Glacier,6,9,2010,1,NA
Glacier,6,9,2010,1,NA
Glacier,7,11,2010,0,NA
Glacier,7,11,2010,0,NA
Glacier,6,10,2004,0,SWFSC count from MF non-pup aerial survey photo
Glacier,6,25,2013,6,NA
Glacier,6,26,2009,4,Logs for checkcount
Glacier,7,1,2015,14,Otter aerial image count.
Glacier,7,1,2015,13,Otter aerial image count.
Glacier,6,26,2009,4,Logs for checkcount
Glacier,6,27,2011,5,NA
Glacier,6,25,2013,6,NA
Glacier,6,27,2011,5,NA
Granite Cape,7,1,2015,0,Otter aerial image count.
Granite Cape,6,25,2013,0,NA
Granite Cape,6,25,2013,0,NA
Granite Cape,7,1,2015,0,Otter aerial image count.
Granite Cape,6,10,2004,0,SWFSC count from MF non-pup aerial survey photo
Hook Point,6,10,2004,0,SWFSC count from MF non-pup aerial survey photo
Hook Point,6,25,2013,0,NA
Hook Point,6,27,2011,0,NA
Hook Point,6,27,2011,0,NA
Hook Point,6,25,2013,0,NA
Hook Point,7,1,2015,0,Otter aerial image count.
Hook Point,7,1,2015,0,Otter aerial image count.
Middleton,6,10,2004,0,SWFSC count from MF non-pup aerial survey photo
Natoa (Grotto),6,9,2010,2,NA
Natoa (Grotto),6,25,2013,1,NA
Natoa (Grotto),6,28,2011,0,NA
Natoa (Grotto),7,11,2010,0,NA
Natoa (Grotto),7,11,2010,0,NA
Natoa (Grotto),6,9,2010,2,NA
Natoa (Grotto),7,1,2015,1,Otter aerial image count.
Natoa (Grotto),6,28,2011,0,NA
Natoa (Grotto),6,25,2013,1,NA
Natoa (Grotto),7,1,2015,1,Otter aerial image count.
No Name,7,1,2015,0,Otter aerial image count.
No Name,7,1,2015,0,Otter aerial image count.
Point Elrington,7,5,2003,2,brand resight form - 2 live pups
Point Elrington,7,11,2010,4,NA
Point Elrington,6,26,2009,1,Logs for checkcount
Point Elrington,6,26,2009,1,Logs for checkcount
Point Elrington,6,10,2004,2,SWFSC count from MF non-pup aerial survey photo
Point Elrington,6,25,2013,1,NA
Point Elrington,6,25,2013,1,NA
Point Elrington,6,9,2010,2,NA
Point Elrington,7,1,2015,0,Otter aerial image count.
Point Elrington,6,28,2011,2,NA
Point Elrington,6,28,2011,2,NA
Point Elrington,7,11,2010,4,NA
Point Elrington,7,1,2015,0,Otter aerial image count.
Point Elrington,6,9,2010,1,NA
Point Elrington,7,8,2001,3,"no hardcopy, entered directly to spreadsheet"
Point Latouche,6,10,2004,0,SWFSC count from MF non-pup aerial survey photo
Procession Rocks,6,26,2009,0,Logs for checkcount
Procession Rocks,6,28,2011,0,NA
Procession Rocks,7,1,2015,4,Otter aerial image count.
Procession Rocks,6,25,2013,2,NA
Procession Rocks,7,1,2015,4,Otter aerial image count.
Procession Rocks,7,11,2010,0,NA
Procession Rocks,6,28,2011,0,NA
Procession Rocks,7,11,2010,0,NA
Procession Rocks,6,25,2013,2,NA
Procession Rocks,6,26,2009,0,Logs for checkcount
Procession Rocks,6,10,2004,1,SWFSC count from MF non-pup aerial survey photo
Rabbit,6,10,2004,0,SWFSC count from MF non-pup aerial survey photo
Ragged/Hoof Point,6,25,2013,0,NA
Ragged/Hoof Point,6,25,2013,0,NA
Ragged/Hoof Point,6,30,2015,0,Otter aerial image count.
Ragged/Hoof Point,6,30,2015,0,Otter aerial image count.
Rugged,7,1,2015,0,Otter aerial image count.
Rugged,7,1,2015,0,Otter aerial image count.
Rugged,6,10,2004,0,SWFSC count from MF non-pup aerial survey photo
Seal Rocks,7,99,1990,571,NMFS 1992
Seal Rocks,6,29,2004,573,SWFSC count from MF non-pup aerial survey photo
Seal Rocks,7,14,1996,352,"""Strick et al, 1999"""
Seal Rocks,7,2,2005,556,"Gelatt fn - kc 557, bd 554"
Seal Rocks,6,20,1978,545,"""Calkins et al, 1979 Annual Report"""
Seal Rocks,7,2,1994,598,"""Strick et al, 1997"""
Seal Rocks,6,9,2010,399,alittle early to use for annual pup production at this rookery
Seal Rocks,6,9,2010,391,alittle early to use for annual pup production at this rookery
Seal Rocks,7,11,2010,627,NA
Seal Rocks,6,27,2011,729,NA
Seal Rocks,6,28,1991,657,"""Merrick et al, 1992"""
Seal Rocks,6,21,2005,508,NA
Seal Rocks,7,11,2010,640,NA
Seal Rocks,7,4,2003,543,"loughlin field notes, rt - 548, js - 537, 116 dead"
Seal Rocks,6,25,2013,807,NA
Seal Rocks,7,6,1989,553,NMFS 1992
Seal Rocks,7,6,2001,500,"June/July 2001 data book (TRL), 12 dead"
Seal Rocks,99,99,1984,799,"""Calkins and Pitcher, ?(adfg 83-84 pinniped invest)"""
Seal Rocks,99,99,1979,491,"""Calkins & Pitcher, 1982"""
Seal Rocks,6,26,2009,737,Logs for checkcount
Seal Rocks,6,26,2009,742,Logs for checkcount
Seal Rocks,7,2,1997,487,"""medium-format photo, Pitcher, 1998 contract report, Snyder via Pitcher"""
Seal Rocks,7,1,1993,566,NA
Seal Rocks,6,27,2011,726,80 dead pups
Seal Rocks,99,27,1976,316,"""branded 316 Calkins & Pitcher, 1982"", min 85 dead"
Seal Rocks,6,25,2013,798,NA
Seal Rocks,7,1,2015,678,Otter aerial image count.
Seal Rocks,7,1,2015,669,Otter aerial image count.
Seal Rocks,6,29,1998,542,"""Pitcher, 1998 contract report"""
Seal Rocks (Kenai),6,10,2004,0,SWFSC count from MF non-pup aerial survey photo
Seal Rocks (Kenai),6,25,2013,0,NA
Seal Rocks (Kenai),7,1,2015,0,Otter aerial image count.
Seal Rocks (Kenai),7,1,2015,0,Otter aerial image count.
Seal Rocks (Kenai),7,11,2010,0,NA
Seal Rocks (Kenai),7,11,2010,0,NA
Seal Rocks (Kenai),6,25,2013,0,NA
Steep Point,6,26,2009,0,logs for chkcnt combined with photo count of Unnamed rock bn Steep Point and Rabbit (0)
Steep Point,6,26,2009,0,logs for chkcnt combined with photo count of Unnamed rock bn Steep Point and Rabbit (0)
Steep Point,6,10,2004,0,SWFSC count from MF non-pup aerial survey photo
The Needle,6,25,2013,29,NA
The Needle,6,26,2009,20,Logs for checkcount
The Needle,7,1,2015,30,Otter aerial image count.
The Needle,6,28,2011,31,NA
The Needle,6,25,2013,29,NA
The Needle,6,9,2010,9,NA
The Needle,6,9,2010,8,NA
The Needle,7,1,2015,31,Otter aerial image count.
The Needle,7,11,2010,21,NA
The Needle,6,26,2009,20,Logs for checkcount
The Needle,7,8,2001,6,"no hardcopy, entered directly to spreadsheet"
The Needle,7,11,2010,22,NA
The Needle,6,10,2004,7,SWFSC count from MF non-pup aerial survey photo
The Needle,6,28,2011,30,NA
The Needle,7,5,2003,7,b delong resight form - count 7 live pups
Wooded (Fish),6,27,1998,147,"""Pitcher, 1998 contract report, cnt from periphery"""
Wooded (Fish),7,3,2003,173,"loughlin field notes, c1 - 164, 155 c2 - 199, 171 mean 173, 18 dead"
Wooded (Fish),7,1,2015,343,Otter aerial image count.
Wooded (Fish),7,13,1996,232,"""Strick et al, 1999"""
Wooded (Fish),6,26,2009,178,Logs for checkcount
Wooded (Fish),7,1,1993,514,NA
Wooded (Fish),6,25,2013,279,NA
Wooded (Fish),6,20,1978,29,"""Calkins et al, 1979 Annual Report"""
Wooded (Fish),7,2,1994,305,"""Strick et al, 1997"""
Wooded (Fish),6,28,2011,225,NA
Wooded (Fish),7,1,2015,337,Otter aerial image count.
Wooded (Fish),7,5,2000,149,"""Towell, Thomason & Fadely field notes"""
Wooded (Fish),7,11,2010,226,NA
Wooded (Fish),6,29,2004,123,SWFSC count from MF non-pup aerial survey photo
Wooded (Fish),99,99,1997,123,"""medium-format photo, Pitcher, 1998 contract report"""
Wooded (Fish),7,3,2005,154,"Gelatt fn - wt 138, bd 170, second count done but not used, see field book for details"
Wooded (Fish),6,21,2005,96,NA
Wooded (Fish),6,26,2009,177,Logs for checkcount
Wooded (Fish),6,28,2011,225,NA
Wooded (Fish),7,11,2010,221,NA
Wooded (Fish),6,25,2013,272,NA
